iter	RMSE
0	3704.292415
1	3405.725719
2	3130.099578
3	2874.271388
4	2646.996289
5	2438.323569
6	2251.131228
7	2083.878452
8	1935.115246
9	1795.671009
10	1670.049327
11	1555.820229
12	1454.697871
13	1362.3757
14	1279.272725
15	1206.247259
16	1139.740835
17	1083.078884
18	1031.284064
19	985.0506311
20	941.4979954
21	904.1740143
22	872.5820878
23	842.2976854
24	816.1090061
25	792.5802212
26	772.307188
27	754.2471773
28	739.1669694
29	726.0153789
30	713.3413729
31	702.3944401
32	691.9816844
33	683.2810434
34	675.7196977
35	668.4348705
36	661.9491125
37	656.1512498
38	650.840158
39	645.6730129
40	641.5733028
41	637.3582147
42	633.9131746
43	630.6858011
44	627.6858296
45	625.2694083
46	623.152182
47	620.9493306
48	618.6683438
49	616.7708713
50	614.436399
51	612.6821432
52	610.775037
53	609.1285431
54	607.7685809
55	606.5127708
56	605.3916417
57	604.2764745
58	603.4623743
59	602.58313
60	601.763731
61	600.5909994
62	599.7963478
63	599.0004187
64	598.2963195
65	597.2449334
66	596.6783319
67	595.9653937
68	595.5057107
69	594.5645615
70	594.1076344
71	593.4342911
72	592.9108453
73	592.369755
74	591.9078536
75	591.4635257
76	590.7709563
77	590.2843893
78	589.7556861
79	589.1903289
80	588.8382927
81	588.5206013
82	588.158417
83	587.7798979
84	587.4725621
85	587.1897912
86	586.9511029
87	586.5126885
88	586.2143009
89	585.7949964
90	585.5926711
91	585.4177161
92	585.1624354
93	584.9584544
94	584.7853458
95	584.5687134
96	584.3533883
97	584.022576
98	583.8609897
99	583.6742401
100	583.5507494
101	583.1908573
102	583.0849022
103	582.7074208
104	582.3984072
105	582.0832872
106	581.8648398
107	581.6938725
108	581.5563999
109	581.2220861
110	580.9338673
111	580.8392652
112	580.6594498
113	580.5200717
114	580.396687
115	580.2445205
116	580.1117217
117	579.9794149
118	579.7394941
119	579.6044467
120	579.284284
121	579.2003459
122	578.9907611
123	578.8896859
124	578.790559
125	578.5072187
126	578.3241847
127	578.1970619
128	578.0481074
129	577.9438463
130	577.7884597
131	577.5606377
132	577.4274759
133	577.3271646
134	577.2222388
135	577.1292534
136	577.0440979
137	576.8635328
138	576.8085495
139	576.6758184
140	576.5141816
141	576.371084
142	576.1953686
143	575.9789136
144	575.9019268
145	575.7526851
146	575.6231388
147	575.5607743
148	575.4289411
149	575.3005331
150	575.1716237
151	575.0103558
152	574.8827161
153	574.6782368
154	574.4783644
155	574.3394324
156	574.2527761
157	574.1724572
158	573.9598464
159	573.6699708
160	573.5128805
161	573.3842922
162	573.2210843
163	573.1102184
164	572.9214233
165	572.7746355
166	572.6339942
167	572.4617599
168	572.3714424
169	572.2756868
170	572.1208153
171	571.9963726
172	571.851234
173	571.6676522
174	571.5194787
175	571.3995337
176	571.2538604
177	571.1616283
178	571.0552709
179	570.9594757
180	570.8739074
181	570.7561769
182	570.6111886
183	570.5141976
184	570.4371625
185	570.3193723
186	570.214033
187	570.154053
188	570.0030923
189	569.9345722
190	569.7733564
191	569.6898107
192	569.5920108
193	569.4686538
