iter	Passed	Remaining
0	322	322519
1	354	177127
2	388	129078
3	434	108295
4	467	93091
5	500	82931
6	533	75640
7	565	70108
8	614	67618
9	693	68690
10	751	67525
11	798	65758
12	830	63025
13	859	60568
14	891	58564
15	920	56583
16	951	55044
17	982	53594
18	1014	52395
19	1045	51238
20	1076	50203
21	1107	49253
22	1139	48388
23	1169	47563
24	1202	46910
25	1238	46412
26	1269	45743
27	1300	45151
28	1331	44565
29	1363	44101
30	1394	43585
31	1422	43018
32	1450	42515
33	1478	42003
34	1504	41483
35	1533	41074
36	1560	40603
37	1588	40224
38	1616	39832
39	1645	39495
40	1672	39116
41	1699	38774
42	1727	38450
43	1755	38144
44	1784	37863
45	1809	37528
46	1833	37184
47	1861	36928
48	1889	36664
49	1915	36401
50	1946	36212
51	1973	35979
52	2003	35802
53	2029	35545
54	2056	35329
55	2083	35128
56	2111	34928
57	2140	34765
58	2167	34565
59	2191	34329
60	2218	34152
61	2247	33996
62	2279	33896
63	2307	33742
64	2332	33548
65	2365	33478
66	2403	33470
67	2431	33327
68	2458	33165
69	2485	33027
70	2512	32869
71	2540	32746
72	2569	32631
73	2599	32523
74	2627	32402
75	2652	32243
76	2679	32121
77	2707	32007
78	2732	31852
79	2757	31715
80	2782	31574
81	2807	31434
82	2834	31319
83	2858	31173
84	2887	31085
85	2915	30986
86	2942	30882
87	2969	30778
88	2994	30655
89	3024	30576
90	3050	30467
91	3077	30371
92	3104	30273
93	3130	30175
94	3156	30065
95	3182	29965
96	3210	29884
97	3236	29786
98	3265	29716
99	3294	29654
100	3324	29595
101	3353	29525
102	3382	29456
103	3412	29400
104	3441	29334
105	3470	29273
106	3505	29256
107	3535	29196
108	3565	29149
109	3599	29126
110	3630	29075
111	3658	29009
112	3693	28993
113	3729	28984
114	3758	28923
115	3790	28887
116	3821	28843
117	3853	28801
118	3885	28767
119	3915	28714
120	3948	28685
121	3981	28656
122	4016	28635
123	4046	28586
124	4072	28506
125	4102	28455
126	4133	28415
127	4163	28365
128	4195	28328
129	4222	28259
130	4253	28213
131	4285	28178
132	4313	28121
133	4342	28064
134	4381	28071
135	4413	28040
136	4441	27981
137	4473	27943
138	4500	27875
139	4529	27821
140	4556	27756
141	4582	27689
142	4611	27636
143	4639	27577
144	4664	27504
145	4693	27455
146	4721	27395
147	4748	27337
148	4778	27291
149	4806	27235
150	4833	27173
151	4863	27133
152	4895	27103
153	4926	27061
154	4955	27017
155	4984	26967
156	5012	26911
