iter	RMSE
0	3923.99321
1	3813.509658
2	3705.779776
3	3603.22415
4	3502.953587
5	3405.512824
6	3310.700376
7	3218.870613
8	3129.636679
9	3043.333306
10	2960.045094
11	2879.500899
12	2800.856049
13	2724.841991
14	2651.471283
15	2579.812023
16	2510.831995
17	2444.152394
18	2379.038342
19	2315.709385
20	2254.589824
21	2195.34124
22	2138.845151
23	2083.16209
24	2029.242117
25	1977.487232
26	1926.913435
27	1878.630224
28	1831.762869
29	1786.623756
30	1742.836109
31	1700.605129
32	1658.977388
33	1618.611359
34	1580.380897
35	1543.072747
36	1506.388315
37	1471.415247
38	1437.494473
39	1404.113005
40	1372.661269
41	1342.078068
42	1313.088731
43	1284.492921
44	1257.339141
45	1230.781138
46	1205.087533
47	1180.790669
48	1156.851853
49	1133.727837
50	1111.209375
51	1090.099615
52	1069.885115
53	1049.834186
54	1030.80264
55	1012.709049
56	995.3135521
57	979.0722396
58	962.8936804
59	946.9699254
60	931.6351038
61	916.8007337
62	902.9293833
63	889.4547162
64	876.7168979
65	864.6554431
66	852.4228454
67	840.8918441
68	829.8694647
69	819.606595
70	809.6183765
71	799.599177
72	790.4713498
73	781.6532046
74	773.0307287
75	764.837536
76	757.0580584
77	749.8612459
78	742.6429177
79	735.8231227
80	728.8614948
81	722.5251541
82	716.4908467
83	710.8503055
84	705.4066178
85	700.3023731
86	695.2392627
87	690.5623432
88	685.7761233
89	681.3514523
90	677.1839596
91	672.9317957
92	668.9122152
93	665.0483851
94	661.5073668
95	658.058321
96	654.8471507
97	651.7401045
98	648.6797898
99	645.790707
100	642.9859799
101	640.3609028
102	637.8128821
103	635.3204424
104	633.0163586
105	630.871446
106	628.7487906
107	626.8007759
108	624.842754
109	622.8916
110	621.0833398
111	619.4007264
112	617.6892804
113	616.1027621
114	614.653199
115	613.1701874
116	611.7475956
117	610.4420765
118	609.1508777
119	607.9270983
120	606.7741055
121	605.6891276
122	604.5801357
123	603.4978909
124	602.4763252
125	601.4484329
126	600.4947705
127	599.6577689
128	598.8100468
129	597.9107548
130	597.0845552
131	596.3228845
132	595.5244728
133	594.7772835
134	594.0338186
135	593.3433934
136	592.6578113
137	592.0176262
138	591.4645152
139	590.8901654
140	590.2971897
141	589.728595
142	589.1991679
143	588.6881444
144	588.1553625
145	587.6946069
146	587.2292726
147	586.7707844
148	586.3210668
149	585.8802675
150	585.4721782
151	585.0616034
152	584.7023752
153	584.2816551
154	583.8937112
155	583.5350621
156	583.2096489
157	582.828842
158	582.5190587
159	582.1814514
160	581.8959312
161	581.5682678
162	581.2690939
163	580.9928745
164	580.7240681
165	580.4807228
166	580.1655501
167	579.8746002
168	579.6135189
169	579.3587707
170	579.0916988
171	578.9093076
172	578.6939779
173	578.4560001
174	578.2718131
175	578.0725985
176	577.8942353
177	577.6945768
178	577.5047036
179	577.3049851
180	577.1470493
181	576.9293109
182	576.7249771
183	576.5383985
184	576.3553028
185	576.1655128
186	576.0016955
187	575.8332836
188	575.6197014
189	575.4387888
190	575.2623802
191	575.1144516
192	574.9527947
193	574.7802002
194	574.5831933
195	574.4548685
196	574.2696308
197	574.1227896
198	573.9457867
199	573.8225536
200	573.662458
201	573.5404815
202	573.4475881
203	573.3412835
204	573.2351068
205	573.062977
206	572.9468093
207	572.8266926
208	572.7033275
209	572.5917014
210	572.4645212
211	572.3641582
212	572.2362568
213	572.1008862
214	572.0122092
215	571.9047
216	571.7792952
217	571.6484805
218	571.56284
219	571.4876505
220	571.3815762
221	571.2793916
222	571.1347636
223	571.0581767
224	570.9472731
225	570.8844602
226	570.7879436
227	570.7118982
228	570.5981196
229	570.4939354
230	570.3989006
231	570.3205868
232	570.2496348
233	570.1438671
234	570.0541908
235	569.9470468
236	569.8458652
237	569.6845476
238	569.6105457
239	569.5263316
240	569.4550606
241	569.3635961
242	569.2919492
243	569.2063934
244	569.1633596
245	569.0748012
246	568.9896798
247	568.9061467
248	568.8116931
249	568.7402181
250	568.688078
251	568.6158263
252	568.5552217
253	568.4872637
254	568.3945903
255	568.2966312
256	568.2158345
257	568.152911
258	568.0875248
259	568.0124496
260	567.9306179
261	567.859015
262	567.7644729
263	567.66569
264	567.5494907
265	567.4499455
266	567.3830418
267	567.3280738
268	567.2757773
269	567.2164936
270	567.1847694
271	567.1210304
272	567.0545208
273	566.9753413
274	566.8859668
275	566.8534382
276	566.7916496
277	566.7220635
278	566.6115386
279	566.5268017
280	566.448301
281	566.3818634
282	566.3077472
283	566.2541384
284	566.1679876
285	566.1004354
286	566.0269438
287	565.9372765
288	565.8712347
289	565.7796853
290	565.7253982
291	565.646685
292	565.5579579
293	565.4664385
294	565.3822773
295	565.3333755
296	565.2308753
297	565.1387367
298	565.0808403
299	565.0258004
300	564.9602651
301	564.9074365
302	564.8471383
303	564.7619924
304	564.6939972
305	564.6520049
306	564.6107142
307	564.5300408
308	564.458266
309	564.4194992
310	564.3570994
311	564.2922029
312	564.2483328
313	564.1843969
314	564.1258526
315	564.0457391
316	563.9952434
317	563.9302475
318	563.8715921
319	563.8308976
320	563.8008488
321	563.7462527
322	563.6476231
323	563.6064096
324	563.5638219
325	563.5102867
326	563.469081
327	563.4099234
328	563.3272761
329	563.2228216
330	563.1818387
331	563.0963436
332	563.0055107
333	562.9432242
334	562.8582583
335	562.8172271
336	562.7377151
337	562.7069356
338	562.6153597
339	562.5336196
340	562.4433742
341	562.4012872
342	562.3497249
343	562.3203513
344	562.2989375
345	562.249266
346	562.195286
347	562.1260781
348	562.0792058
349	562.018315
350	561.9522285
351	561.8964199
352	561.8369763
353	561.7662581
354	561.6989032
355	561.6428423
356	561.5774743
357	561.4616979
358	561.3781374
359	561.3088232
360	561.2593123
361	561.1858136
362	561.1510689
363	561.0856991
364	561.0325444
365	560.9951493
366	560.9423848
367	560.8993205
368	560.8564591
369	560.8186082
370	560.7853064
371	560.7217868
372	560.6732914
373	560.640134
374	560.5421011
375	560.5122618
376	560.4388337
377	560.4070402
378	560.3499759
379	560.2683531
380	560.197994
381	560.1115602
382	560.0680101
383	560.0215865
384	559.9353248
385	559.9214937
386	559.8358098
387	559.756787
388	559.6845078
389	559.5418635
390	559.4955039
391	559.3970647
392	559.3708196
393	559.315016
394	559.2616494
395	559.215674
396	559.1737928
397	559.1336747
398	559.0742597
399	559.0303374
400	558.9820627
401	558.9270165
402	558.8704913
403	558.8108001
404	558.7780732
405	558.7355026
406	558.6858977
407	558.6355975
408	558.5686047
409	558.5301267
410	558.480646
411	558.4351979
412	558.3876503
413	558.3387327
414	558.2870918
415	558.2105241
416	558.1169082
417	558.0957676
418	558.0399831
419	558.0022657
420	557.9607727
421	557.8443561
422	557.798812
423	557.7600101
424	557.7356371
425	557.6369962
426	557.5857867
427	557.5259288
428	557.4900221
429	557.4637778
430	557.4230061
431	557.3727487
432	557.3619181
433	557.3372974
434	557.2609102
435	557.2311534
436	557.1725107
437	557.1009704
438	557.0457666
439	557.0105504
440	556.9469241
441	556.8704628
442	556.811859
443	556.7567751
444	556.6490772
445	556.5904374
446	556.5765081
447	556.5329977
448	556.5152134
449	556.4669603
450	556.4503661
451	556.4132236
452	556.3593708
453	556.3144942
454	556.2611955
455	556.228387
456	556.1669618
457	556.1063901
458	556.0679171
459	556.0206351
460	555.9719669
461	555.8983966
462	555.8703151
463	555.8163302
464	555.7151682
465	555.6700682
466	555.6246641
467	555.6050974
468	555.5835376
469	555.57439
470	555.5358301
471	555.4713726
472	555.4210873
473	555.3277361
474	555.3011572
475	555.2881877
476	555.2595252
477	555.2486075
478	555.2077333
479	555.1784152
480	555.1213868
481	555.0597048
482	555.0150463
483	554.960016
484	554.8680109
485	554.8289486
486	554.7950649
487	554.7552383
488	554.6602065
489	554.6179379
490	554.5378564
491	554.4786611
492	554.4303294
493	554.3873014
494	554.2963557
495	554.2412977
496	554.1569797
497	554.102541
498	554.0485331
499	553.9964798
