iter	Passed	Remaining
0	60	30298
1	122	30472
2	175	29147
3	229	28424
4	282	27997
5	337	27780
6	405	28524
7	470	28947
8	532	29048
9	595	29179
10	648	28814
11	704	28665
12	756	28322
13	811	28161
14	864	27960
15	917	27743
16	970	27575
17	1022	27384
18	1076	27254
19	1128	27084
20	1182	26961
21	1235	26836
22	1288	26732
23	1338	26544
24	1390	26422
25	1444	26339
26	1497	26231
27	1546	26073
28	1599	25978
29	1652	25892
30	1711	25891
31	1772	25927
32	1838	26024
33	1913	26228
34	1969	26166
35	2020	26036
36	2075	25968
37	2138	25993
38	2199	25994
39	2264	26037
40	2333	26127
41	2400	26178
42	2471	26267
43	2525	26178
44	2578	26072
45	2632	25978
46	2685	25880
47	2739	25798
48	2792	25703
49	2850	25655
50	2900	25532
51	2955	25462
52	3008	25373
53	3063	25300
54	3114	25199
55	3169	25127
56	3220	25030
57	3279	24989
58	3331	24904
59	3385	24827
60	3439	24749
61	3494	24690
62	3550	24626
63	3605	24563
64	3657	24476
65	3711	24403
66	3766	24339
67	3818	24261
68	3875	24205
69	3925	24112
70	3979	24045
71	4030	23959
72	4087	23911
73	4139	23828
74	4192	23755
75	4249	23706
76	4303	23639
77	4352	23547
78	4406	23481
79	4461	23421
80	4519	23380
81	4586	23382
82	4652	23372
83	4710	23327
84	4762	23251
85	4815	23183
86	4865	23097
87	4918	23029
88	4974	22974
89	5029	22913
90	5078	22826
91	5139	22792
92	5193	22729
93	5252	22686
94	5307	22625
95	5360	22558
96	5412	22486
97	5462	22406
98	5511	22322
99	5565	22262
100	5615	22184
101	5668	22116
102	5723	22060
103	5776	21996
104	5826	21919
105	5880	21856
106	5931	21784
107	5981	21709
108	6031	21634
109	6085	21574
110	6138	21512
111	6191	21449
112	6240	21373
113	6297	21324
114	6345	21245
115	6398	21179
116	6445	21098
117	6500	21043
118	6554	20983
119	6605	20917
120	6656	20848
121	6706	20778
122	6757	20710
123	6808	20646
124	6857	20573
125	6909	20507
126	6961	20444
127	7011	20376
128	7066	20321
129	7118	20261
130	7166	20186
131	7218	20123
132	7269	20058
133	7322	19999
134	7373	19936
135	7426	19875
136	7478	19816
137	7530	19754
138	7630	19816
139	7682	19754
140	7736	19697
141	7785	19626
142	7834	19559
143	7884	19492
144	7939	19437
145	7985	19363
146	8037	19299
147	8088	19237
148	8143	19183
149	8192	19115
